REGION,Educational Attainment," NUMBER OF PERSONS
AGES 25-64
2018 ","PERCENT OF PERSONS
AGES 25-64
2018","90% CONFIDENCE INTERVAL
(LOWER BOUND OF THE PERCENT)
2018","90% CONFIDENCE INTERVAL 
(UPPER BOUND OF THE PERCENT)
2018"
Florida,Not a high school graduate,"1,140,000",10.4,10.2,10.6
Florida,High school diploma or GED,"5,246,000",47.9,47.6,48.3
Florida,Associate's Degree,"1,177,000",10.8,10.6,11.0
Florida,Bachelor's Degree,"2,211,000",20.2,20.0,20.4
Florida,Graduate Degree,"1,170,000",10.7,10.5,10.9
Georgia,Not a high school graduate,"624,000",11.3,11.0,11.6
Georgia,High school diploma or GED,"2,589,000",46.9,46.4,47.4
Georgia,Associate's Degree,"472,000",8.6,8.3,8.8
Georgia,Bachelor's Degree,"1,151,000",20.8,20.5,21.2
Georgia,Graduate Degree,"685,000",12.4,12.2,12.7
Hawaii,Not a high school graduate,"44,000",5.9,5.4,6.4
Hawaii,High school diploma or GED,"351,000",47.8,46.6,49.0
Hawaii,Associate's Degree,"88,000",12.0,11.4,12.6
Hawaii,Bachelor's Degree,"171,000",23.3,22.5,24.1
Hawaii,Graduate Degree,"80,000",10.9,10.4,11.4
Idaho,Not a high school graduate,"81,000",9.4,8.8,10.0
Idaho,High school diploma or GED,"447,000",51.7,50.5,52.9
Idaho,Associate's Degree,"92,000",10.6,10.0,11.3
Idaho,Bachelor's Degree,"169,000",19.6,18.8,20.3
Idaho,Graduate Degree,"75,000",8.7,8.2,9.3
Illinois,Not a high school graduate,"630,000",9.4,9.2,9.6
Illinois,High school diploma or GED,"2,982,000",44.4,44.0,44.8
Illinois,Associate's Degree,"587,000",8.7,8.6,8.9
Illinois,Bachelor's Degree,"1,543,000",23.0,22.7,23.2
Illinois,Graduate Degree,"974,000",14.5,14.3,14.7
Indiana,Not a high school graduate,"348,000",10.2,9.9,10.5
Indiana,High school diploma or GED,"1,749,000",51.2,50.6,51.8
Indiana,Associate's Degree,"337,000",9.9,9.6,10.1
Indiana,Bachelor's Degree,"657,000",19.2,18.9,19.6
Indiana,Graduate Degree,"325,000",9.5,9.2,9.8
Iowa,Not a high school graduate,"111,000",7.1,6.8,7.4
Iowa,High school diploma or GED,"757,000",48.3,47.7,49.0
Iowa,Associate's Degree,"210,000",13.4,13.0,13.8
Iowa,Bachelor's Degree,"338,000",21.6,21.1,22.1
Iowa,Graduate Degree,"151,000",9.6,9.2,10.0
Kansas,Not a high school graduate,"128,000",8.9,8.5,9.3
Kansas,High school diploma or GED,"663,000",45.8,45.1,46.5
Kansas,Associate's Degree,"145,000",10.0,9.6,10.4
Kansas,Bachelor's Degree,"329,000",22.7,22.2,23.2
Kansas,Graduate Degree,"183,000",12.6,12.2,13.0
Kentucky,Not a high school graduate,"257,000",11.1,10.8,11.5
Kentucky,High school diploma or GED,"1,223,000",53.0,52.3,53.7
Kentucky,Associate's Degree,"225,000",9.8,9.4,10.1
Kentucky,Bachelor's Degree,"366,000",15.9,15.5,16.2
Kentucky,Graduate Degree,"237,000",10.3,9.9,10.6
Louisiana,Not a high school graduate,"315,000",13.1,12.7,13.6
Louisiana,High school diploma or GED,"1,317,000",54.8,54.0,55.5
Louisiana,Associate's Degree,"173,000",7.2,6.9,7.5
Louisiana,Bachelor's Degree,"406,000",16.9,16.5,17.3
Louisiana,Graduate Degree,"194,000",8.1,7.8,8.4
Maine,Not a high school graduate,"40,000",5.6,5.2,6.1
Maine,High school diploma or GED,"365,000",51.6,50.6,52.7
Maine,Associate's Degree,"76,000",10.7,10.1,11.3
Maine,Bachelor's Degree,"152,000",21.6,20.8,22.3
Maine,Graduate Degree,"74,000",10.5,10.0,11.0
Maryland,Not a high school graduate,"272,000",8.4,8.1,8.7
Maryland,High school diploma or GED,"1,363,000",42.1,41.5,42.7
Maryland,Associate's Degree,"231,000",7.1,6.9,7.4
Maryland,Bachelor's Degree,"750,000",23.2,22.8,23.6
Maryland,Graduate Degree,"619,000",19.1,18.8,19.5
Massachusetts,Not a high school graduate,"285,000",7.7,7.4,8.0
Massachusetts,High school diploma or GED,"1,377,000",37.3,36.8,37.8
Massachusetts,Associate's Degree,"284,000",7.7,7.4,7.9
Massachusetts,Bachelor's Degree,"989,000",26.8,26.4,27.1
Massachusetts,Graduate Degree,"761,000",20.6,20.3,20.9
Michigan,Not a high school graduate,"415,000",8.1,7.9,8.3
Michigan,High school diploma or GED,"2,599,000",50.5,50.1,50.9
Michigan,Associate's Degree,"529,000",10.3,10.1,10.5
Michigan,Bachelor's Degree,"1,012,000",19.6,19.4,19.9
Michigan,Graduate Degree,"595,000",11.5,11.4,11.7
Minnesota,Not a high school graduate,"179,000",6.1,5.9,6.3
Minnesota,High school diploma or GED,"1,223,000",41.9,41.4,42.4
Minnesota,Associate's Degree,"384,000",13.1,12.9,13.4
Minnesota,Bachelor's Degree,"760,000",26.0,25.7,26.4
Minnesota,Graduate Degree,"375,000",12.8,12.6,13.1
Mississippi,Not a high school graduate,"193,000",12.9,12.3,13.4
Mississippi,High school diploma or GED,"778,000",51.8,50.9,52.7
Mississippi,Associate's Degree,"172,000",11.4,11.0,11.9
Mississippi,Bachelor's Degree,"230,000",15.3,14.7,15.8
Mississippi,Graduate Degree,"130,000",8.7,8.2,9.1
Missouri,Not a high school graduate,"264,000",8.4,8.1,8.6
Missouri,High school diploma or GED,"1,607,000",51.1,50.5,51.6
Missouri,Associate's Degree,"283,000",9.0,8.7,9.2
Missouri,Bachelor's Degree,"626,000",19.9,19.5,20.2
Missouri,Graduate Degree,"368,000",11.7,11.4,12.0
Montana,Not a high school graduate,"28,000",5.3,4.8,5.8
Montana,High school diploma or GED,"276,000",51.5,50.2,52.8
Montana,Associate's Degree,"58,000",10.9,10.2,11.6
Montana,Bachelor's Degree,"116,000",21.6,20.7,22.5
Montana,Graduate Degree,"57,000",10.7,10.0,11.4
Nebraska,Not a high school graduate,"79,000",8.2,7.7,8.6
Nebraska,High school diploma or GED,"434,000",45.1,44.2,45.9
Nebraska,Associate's Degree,"117,000",12.2,11.7,12.6
Nebraska,Bachelor's Degree,"221,000",22.9,22.4,23.5
Nebraska,Graduate Degree,"112,000",11.7,11.3,12.1
Nevada,Not a high school graduate,"215,000",13.2,12.8,13.7
Nevada,High school diploma or GED,"873,000",53.9,53.0,54.8
Nevada,Associate's Degree,"137,000",8.5,8.1,8.8
Nevada,Bachelor's Degree,"266,000",16.4,15.9,16.9
Nevada,Graduate Degree,"130,000",8.0,7.7,8.4
New Hampshire,Not a high school graduate,"42,000",5.7,5.3,6.2
New Hampshire,High school diploma or GED,"332,000",45.8,44.6,46.9
New Hampshire,Associate's Degree,"79,000",10.9,10.2,11.5
New Hampshire,Bachelor's Degree,"171,000",23.6,22.8,24.4
New Hampshire,Graduate Degree,"102,000",14.1,13.5,14.7
New Jersey,Not a high school graduate,"390,000",8.2,8.0,8.5
New Jersey,High school diploma or GED,"1,949,000",41.0,40.6,41.5
New Jersey,Associate's Degree,"337,000",7.1,6.9,7.3
New Jersey,Bachelor's Degree,"1,286,000",27.1,26.7,27.4
New Jersey,Graduate Degree,"788,000",16.6,16.3,16.9
New Mexico,Not a high school graduate,"145,000",13.8,13.2,14.5
New Mexico,High school diploma or GED,"537,000",51.2,50.2,52.3
New Mexico,Associate's Degree,"91,000",8.7,8.3,9.2
New Mexico,Bachelor's Degree,"163,000",15.6,15.0,16.2
New Mexico,Graduate Degree,"112,000",10.7,10.2,11.1
New York,Not a high school graduate,"1,169,000",11.2,11.0,11.3
New York,High school diploma or GED,"4,164,000",39.8,39.5,40.1
New York,Associate's Degree,"982,000",9.4,9.2,9.5
New York,Bachelor's Degree,"2,393,000",22.9,22.7,23.1
New York,Graduate Degree,"1,752,000",16.7,16.6,16.9
North Carolina,Not a high school graduate,"577,000",10.7,10.4,10.9
North Carolina,High school diploma or GED,"2,456,000",45.4,44.9,45.8
North Carolina,Associate's Degree,"568,000",10.5,10.2,10.7
North Carolina,Bachelor's Degree,"1,195,000",22.1,21.8,22.4
North Carolina,Graduate Degree,"618,000",11.4,11.2,11.6
North Dakota,Not a high school graduate,"23,000",6.0,5.3,6.7
North Dakota,High school diploma or GED,"175,000",45.4,44.0,46.8
North Dakota,Associate's Degree,"64,000",16.8,15.8,17.7
North Dakota,Bachelor's Degree,"92,000",23.9,22.8,25.1
North Dakota,Graduate Degree,"30,000",7.9,7.2,8.6
Ohio,Not a high school graduate,"482,000",8.0,7.8,8.2
Ohio,High school diploma or GED,"3,104,000",51.5,51.1,51.9
Ohio,Associate's Degree,"580,000",9.6,9.4,9.8
Ohio,Bachelor's Degree,"1,177,000",19.5,19.3,19.8
Ohio,Graduate Degree,"687,000",11.4,11.2,11.6
Oklahoma,Not a high school graduate,"222,000",11.1,10.8,11.5
Oklahoma,High school diploma or GED,"1,080,000",54.3,53.7,54.9
Oklahoma,Associate's Degree,"171,000",8.6,8.3,8.9
Oklahoma,Bachelor's Degree,"345,000",17.3,17.0,17.7
Oklahoma,Graduate Degree,"171,000",8.6,8.3,8.9
Oregon,Not a high school graduate,"218,000",9.9,9.5,10.3
Oregon,High school diploma or GED,"1,018,000",46.0,45.3,46.7
Oregon,Associate's Degree,"210,000",9.5,9.1,9.8
Oregon,Bachelor's Degree,"489,000",22.1,21.7,22.6
Oregon,Graduate Degree,"277,000",12.5,12.2,12.9
Pennsylvania,Not a high school graduate,"515,000",7.7,7.6,7.9
Pennsylvania,High school diploma or GED,"3,217,000",48.3,47.9,48.7
Pennsylvania,Associate's Degree,"637,000",9.6,9.4,9.7
Pennsylvania,Bachelor's Degree,"1,421,000",21.3,21.1,21.6
Pennsylvania,Graduate Degree,"872,000",13.1,12.9,13.3
Rhode Island,Not a high school graduate,"49,000",8.8,8.1,9.6
Rhode Island,High school diploma or GED,"260,000",46.6,45.2,48.1
Rhode Island,Associate's Degree,"49,000",8.8,8.2,9.5
Rhode Island,Bachelor's Degree,"121,000",21.6,20.7,22.6
Rhode Island,Graduate Degree,"78,000",14.0,13.3,14.8
South Carolina,Not a high school graduate,"265,000",10.2,9.9,10.6
South Carolina,High school diploma or GED,"1,294,000",49.9,49.2,50.6
South Carolina,Associate's Degree,"281,000",10.9,10.5,11.2
South Carolina,Bachelor's Degree,"493,000",19.0,18.6,19.5
South Carolina,Graduate Degree,"259,000",10.0,9.7,10.3
South Dakota,Not a high school graduate,"31,000",7.0,6.4,7.6
South Dakota,High school diploma or GED,"212,000",48.6,47.2,50.0
South Dakota,Associate's Degree,"61,000",13.9,13.2,14.7
South Dakota,Bachelor's Degree,"94,000",21.5,20.6,22.5
South Dakota,Graduate Degree,"39,000",8.9,8.2,9.6
Tennessee,Not a high school graduate,"368,000",10.4,10.1,10.7
Tennessee,High school diploma or GED,"1,858,000",52.5,52.0,53.1
Tennessee,Associate's Degree,"289,000",8.2,7.9,8.4
Tennessee,Bachelor's Degree,"663,000",18.7,18.4,19.1
Tennessee,Graduate Degree,"359,000",10.1,9.9,10.4
Texas,Not a high school graduate,"2,245,000",15.1,14.9,15.3
Texas,High school diploma or GED,"6,892,000",46.3,46.0,46.6
Texas,Associate's Degree,"1,127,000",7.6,7.4,7.7
Texas,Bachelor's Degree,"3,037,000",20.4,20.2,20.6
Texas,Graduate Degree,"1,578,000",10.6,10.5,10.8
Utah,Not a high school graduate,"115,000",7.6,7.2,8.0
Utah,High school diploma or GED,"706,000",46.4,45.7,47.2
Utah,Associate's Degree,"164,000",10.8,10.4,11.2
Utah,Bachelor's Degree,"361,000",23.7,23.2,24.3
Utah,Graduate Degree,"174,000",11.5,11.1,11.8
Vermont,Not a high school graduate,"17,000",5.4,4.7,6.0
Vermont,High school diploma or GED,"146,000",45.5,44.0,46.9
Vermont,Associate's Degree,"29,000",9.1,8.5,9.8
Vermont,Bachelor's Degree,"81,000",25.1,24.1,26.2
Vermont,Graduate Degree,"48,000",14.9,14.1,15.7
Virginia,Not a high school graduate,"386,000",8.6,8.3,8.8
Virginia,High school diploma or GED,"1,883,000",41.8,41.3,42.3
Virginia,Associate's Degree,"379,000",8.4,8.2,8.6
Virginia,Bachelor's Degree,"1,069,000",23.7,23.4,24.1
Virginia,Graduate Degree,"787,000",17.5,17.2,17.8
Washington,Not a high school graduate,"342,000",8.4,8.2,8.7
Washington,High school diploma or GED,"1,758,000",43.4,42.9,43.9
Washington,Associate's Degree,"434,000",10.7,10.5,11.0
Washington,Bachelor's Degree,"962,000",23.7,23.4,24.1
Washington,Graduate Degree,"555,000",13.7,13.4,14.0
West Virginia,Not a high school graduate,"93,000",10.1,9.6,10.7
West Virginia,High school diploma or GED,"540,000",58.8,57.7,59.8
West Virginia,Associate's Degree,"79,000",8.6,8.1,9.1
West Virginia,Bachelor's Degree,"129,000",14.0,13.4,14.7
West Virginia,Graduate Degree,"78,000",8.5,8.0,8.9
Wisconsin,Not a high school graduate,"217,000",7.2,7.0,7.4
Wisconsin,High school diploma or GED,"1,463,000",48.7,48.2,49.2
Wisconsin,Associate's Degree,"370,000",12.3,12.1,12.6
Wisconsin,Bachelor's Degree,"634,000",21.1,20.8,21.4
Wisconsin,Graduate Degree,"321,000",10.7,10.4,10.9
Wyoming,Not a high school graduate,"17,000",5.8,5.0,6.6
Wyoming,High school diploma or GED,"162,000",54.5,52.5,56.4
Wyoming,Associate's Degree,"36,000",12.2,11.2,13.3
Wyoming,Bachelor's Degree,"52,000",17.7,16.5,18.8
Wyoming,Graduate Degree,"29,000",9.9,8.9,10.8
Puerto Rico,Not a high school graduate,"233,000",14.3,13.8,14.8
Puerto Rico,High school diploma or GED,"692,000",42.6,41.8,43.4
Puerto Rico,Associate's Degree,"207,000",12.7,12.3,13.2
Puerto Rico,Bachelor's Degree,"350,000",21.5,20.9,22.1
Puerto Rico,Graduate Degree,"144,000",8.9,8.5,9.3
Mesa,Not a high school graduate,"31,000",12.0,10.8,13.2
Mesa,High school diploma or GED,"131,000",51.3,49.2,53.5
Mesa,Associate's Degree,"25,000",9.7,8.7,10.7
Mesa,Bachelor's Degree,"47,000",18.4,17.1,19.7
Mesa,Graduate Degree,"22,000",8.6,7.7,9.4
Phoenix,Not a high school graduate,"152,000",17.0,16.2,17.8
Phoenix,High school diploma or GED,"408,000",45.6,44.5,46.7
Phoenix,Associate's Degree,"74,000",8.3,7.8,8.9
Phoenix,Bachelor's Degree,"173,000",19.4,18.6,20.1
Phoenix,Graduate Degree,"87,000",9.7,9.2,10.2
Tucson,Not a high school graduate,"38,000",14.4,13.2,15.7
Tucson,High school diploma or GED,"137,000",51.5,49.5,53.5
Tucson,Associate's Degree,"23,000",8.6,7.7,9.5
Tucson,Bachelor's Degree,"44,000",16.6,15.4,17.8
Tucson,Graduate Degree,"24,000",8.9,8.1,9.6
Fresno,Not a high school graduate,"55,000",20.8,19.3,22.4
Fresno,High school diploma or GED,"125,000",47.0,44.9,49.1
Fresno,Associate's Degree,"26,000",9.7,8.7,10.8
Fresno,Bachelor's Degree,"39,000",14.8,13.5,16.0
Fresno,Graduate Degree,"20,000",7.7,6.7,8.6
Long Beach,Not a high school graduate,"48,000",17.9,16.6,19.2
Long Beach,High school diploma or GED,"118,000",43.6,41.7,45.5
Long Beach,Associate's Degree,"21,000",7.8,7.0,8.6
Long Beach,Bachelor's Degree,"57,000",21.0,19.7,22.3
Long Beach,Graduate Degree,"26,000",9.6,8.7,10.4
Los Angeles,Not a high school graduate,"481,000",21.2,20.7,21.7
Los Angeles,High school diploma or GED,"847,000",37.3,36.7,37.9
Los Angeles,Associate's Degree,"142,000",6.3,6.0,6.5
Los Angeles,Bachelor's Degree,"538,000",23.7,23.2,24.1
Los Angeles,Graduate Degree,"264,000",11.6,11.3,12.0
Oakland,Not a high school graduate,"33,000",12.6,11.5,13.7
Oakland,High school diploma or GED,"85,000",32.5,30.8,34.2
Oakland,Associate's Degree,"16,000",6.2,5.4,7.0
Oakland,Bachelor's Degree,"75,000",28.9,27.6,30.3
Oakland,Graduate Degree,"51,000",19.8,18.6,21.0
Sacramento,Not a high school graduate,"36,000",13.1,12.0,14.2
Sacramento,High school diploma or GED,"120,000",43.1,41.4,44.8
Sacramento,Associate's Degree,"24,000",8.7,7.8,9.5
Sacramento,Bachelor's Degree,"65,000",23.3,22.0,24.7
Sacramento,Graduate Degree,"33,000",11.8,10.9,12.7
San Diego,Not a high school graduate,"95,000",11.9,11.2,12.6
San Diego,High school diploma or GED,"267,000",33.3,32.2,34.4
San Diego,Associate's Degree,"59,000",7.4,6.8,7.9
San Diego,Bachelor's Degree,"229,000",28.6,27.7,29.5
San Diego,Graduate Degree,"151,000",18.8,18.1,19.5
San Francisco,Not a high school graduate,"39,000",7.0,6.3,7.7
San Francisco,High school diploma or GED,"132,000",23.4,22.3,24.6
San Francisco,Associate's Degree,"28,000",5.0,4.5,5.5
San Francisco,Bachelor's Degree,"223,000",39.5,38.3,40.6
San Francisco,Graduate Degree,"142,000",25.1,24.2,26.1
San Jose,Not a high school graduate,"74,000",12.9,12.1,13.7
San Jose,High school diploma or GED,"182,000",31.5,30.4,32.7
San Jose,Associate's Degree,"47,000",8.1,7.5,8.6
San Jose,Bachelor's Degree,"163,000",28.2,27.2,29.2
San Jose,Graduate Degree,"112,000",19.3,18.5,20.1
Colorado Springs,Not a high school graduate,"17,000",6.9,5.9,7.9
Colorado Springs,High school diploma or GED,"103,000",41.2,39.3,43.2
Colorado Springs,Associate's Degree,"28,000",11.0,9.9,12.1
Colorado Springs,Bachelor's Degree,"61,000",24.4,23.0,25.8
Colorado Springs,Graduate Degree,"41,000",16.4,15.3,17.6
Denver,Not a high school graduate,"48,000",10.9,9.9,11.9
Denver,High school diploma or GED,"133,000",30.6,29.2,32.1
Denver,Associate's Degree,"25,000",5.7,5.1,6.4
Denver,Bachelor's Degree,"143,000",32.9,31.7,34.0
Denver,Graduate Degree,"87,000",19.9,18.9,20.9
Jacksonville,Not a high school graduate,"48,000",9.7,8.8,10.6
Jacksonville,High school diploma or GED,"247,000",50.3,48.5,52.0
Jacksonville,Associate's Degree,"50,000",10.2,9.4,11.0
Jacksonville,Bachelor's Degree,"96,000",19.5,18.5,20.6
Jacksonville,Graduate Degree,"51,000",10.3,9.4,11.2
Miami,Not a high school graduate,"42,000",15.3,13.9,16.8
Miami,High school diploma or GED,"113,000",41.2,39.0,43.4
Miami,Associate's Degree,"22,000",7.9,6.9,9.0
Miami,Bachelor's Degree,"55,000",20.2,18.6,21.8
Miami,Graduate Degree,"42,000",15.4,13.8,16.9
Atlanta,Not a high school graduate,"19,000",6.8,5.8,7.8
Atlanta,High school diploma or GED,"91,000",32.4,30.4,34.3
Atlanta,Associate's Degree,"14,000",5.2,4.3,6.0
Atlanta,Bachelor's Degree,"89,000",31.5,29.9,33.2
Atlanta,Graduate Degree,"68,000",24.2,22.9,25.5
Chicago,Not a high school graduate,"182,000",11.8,11.3,12.3
Chicago,High school diploma or GED,"614,000",39.8,39.0,40.7
Chicago,Associate's Degree,"89,000",5.8,5.4,6.1
Chicago,Bachelor's Degree,"391,000",25.4,24.8,26.0
Chicago,Graduate Degree,"265,000",17.2,16.7,17.7
Indianapolis,Not a high school graduate,"61,000",13.2,12.2,14.2
Indianapolis,High school diploma or GED,"212,000",45.9,44.1,47.6
Indianapolis,Associate's Degree,"36,000",7.9,7.1,8.6
Indianapolis,Bachelor's Degree,"105,000",22.8,21.6,24.0
Indianapolis,Graduate Degree,"47,000",10.2,9.5,11.0
Wichita,Not a high school graduate,"24,000",12.3,11.0,13.7
Wichita,High school diploma or GED,"89,000",45.3,43.1,47.5
Wichita,Associate's Degree,"19,000",9.7,8.5,10.9
Wichita,Bachelor's Degree,"39,000",19.9,18.6,21.2
Wichita,Graduate Degree,"25,000",12.7,11.6,13.9
Louisville,Not a high school graduate,"32,000",9.8,8.8,10.8
Louisville,High school diploma or GED,"160,000",48.7,46.7,50.6
Louisville,Associate's Degree,"31,000",9.4,8.5,10.3
Louisville,Bachelor's Degree,"64,000",19.5,18.3,20.7
Louisville,Graduate Degree,"41,000",12.6,11.6,13.5
Baltimore,Not a high school graduate,"39,000",11.7,10.6,12.7
Baltimore,High school diploma or GED,"163,000",48.2,46.2,50.2
Baltimore,Associate's Degree,"16,000",4.9,4.2,5.6
Baltimore,Bachelor's Degree,"60,000",17.8,16.6,19.0
Baltimore,Graduate Degree,"59,000",17.4,16.4,18.4
Boston,Not a high school graduate,"41,000",10.4,9.4,11.4
Boston,High school diploma or GED,"119,000",29.7,28.0,31.3
Boston,Associate's Degree,"19,000",4.6,4.1,5.2
Boston,Bachelor's Degree,"121,000",30.2,28.9,31.4
Boston,Graduate Degree,"101,000",25.1,24.1,26.2
Detroit,Not a high school graduate,"65,000",19.0,17.8,20.2
Detroit,High school diploma or GED,"200,000",58.1,56.4,59.9
Detroit,Associate's Degree,"27,000",7.7,6.9,8.6
Detroit,Bachelor's Degree,"32,000",9.2,8.4,10.1
Detroit,Graduate Degree,"20,000",5.9,5.3,6.5
Minneapolis,Not a high school graduate,"19,000",8.2,7.3,9.2
Minneapolis,High school diploma or GED,"74,000",31.4,29.8,33.0
Minneapolis,Associate's Degree,"18,000",7.5,6.7,8.3
Minneapolis,Bachelor's Degree,"76,000",32.5,31.1,33.9
Minneapolis,Graduate Degree,"48,000",20.3,19.2,21.5
Kansas City,Not a high school graduate,"23,000",8.6,7.7,9.5
Kansas City,High school diploma or GED,"125,000",46.5,44.6,48.3
Kansas City,Associate's Degree,"20,000",7.5,6.7,8.4
Kansas City,Bachelor's Degree,"66,000",24.5,23.2,25.8
Kansas City,Graduate Degree,"35,000",12.9,11.9,13.9
Omaha,Not a high school graduate,"28,000",11.3,10.3,12.4
Omaha,High school diploma or GED,"99,000",40.7,39.0,42.3
Omaha,Associate's Degree,"22,000",9.0,8.2,9.8
Omaha,Bachelor's Degree,"61,000",25.1,23.9,26.3
Omaha,Graduate Degree,"34,000",13.9,12.9,14.8
Las Vegas,Not a high school graduate,"53,000",15.7,14.6,16.8
Las Vegas,High school diploma or GED,"179,000",52.6,51.0,54.3
Las Vegas,Associate's Degree,"26,000",7.6,6.8,8.4
Las Vegas,Bachelor's Degree,"54,000",15.9,14.9,17.0
Las Vegas,Graduate Degree,"27,000",8.1,7.4,8.8
Albuquerque,Not a high school graduate,"29,000",9.9,8.7,11.1
Albuquerque,High school diploma or GED,"138,000",46.4,44.3,48.5
Albuquerque,Associate's Degree,"27,000",9.0,8.0,9.9
Albuquerque,Bachelor's Degree,"57,000",19.3,18.0,20.5
Albuquerque,Graduate Degree,"46,000",15.5,14.4,16.6
New York City,Not a high school graduate,"683,000",14.5,14.2,14.8
New York City,High school diploma or GED,"1,732,000",36.8,36.3,37.3
New York City,Associate's Degree,"319,000",6.8,6.6,7.0
New York City,Bachelor's Degree,"1,192,000",25.3,25.0,25.7
New York City,Graduate Degree,"778,000",16.5,16.2,16.8
Charlotte,Not a high school graduate,"53,000",10.7,9.8,11.6
Charlotte,High school diploma or GED,"175,000",35.3,33.9,36.8
Charlotte,Associate's Degree,"38,000",7.7,7.0,8.4
Charlotte,Bachelor's Degree,"152,000",30.7,29.5,31.8
Charlotte,Graduate Degree,"77,000",15.6,14.8,16.5
Raleigh,Not a high school graduate,"18,000",6.9,5.9,8.0
Raleigh,High school diploma or GED,"82,000",31.3,29.4,33.3
Raleigh,Associate's Degree,"17,000",6.4,5.5,7.4
Raleigh,Bachelor's Degree,"96,000",36.6,34.7,38.5
Raleigh,Graduate Degree,"49,000",18.7,17.4,20.0
Cleveland,Not a high school graduate,"35,000",17.2,15.7,18.6
Cleveland,High school diploma or GED,"115,000",55.9,53.8,57.9
Cleveland,Associate's Degree,"19,000",9.1,8.2,10.1
Cleveland,Bachelor's Degree,"23,000",11.2,10.2,12.2
Cleveland,Graduate Degree,"14,000",6.6,5.9,7.3
Columbus,Not a high school graduate,"44,000",8.7,8.0,9.5
Columbus,High school diploma or GED,"223,000",44.9,43.3,46.4
Columbus,Associate's Degree,"39,000",7.8,7.1,8.5
Columbus,Bachelor's Degree,"126,000",25.2,24.1,26.3
Columbus,Graduate Degree,"67,000",13.4,12.5,14.2
Oklahoma City,Not a high school graduate,"45,000",13.1,12.1,14.2
Oklahoma City,High school diploma or GED,"163,000",47.7,46.1,49.3
Oklahoma City,Associate's Degree,"27,000",7.9,7.0,8.8
Oklahoma City,Bachelor's Degree,"68,000",20.0,18.9,21.1
