REGION,Educational Attainment," NUMBER OF PERSONS
AGES 25-64
2019 ","PERCENT OF PERSONS
AGES 25-64
2019","90% CONFIDENCE INTERVAL
(LOWER BOUND OF THE PERCENT)
2019","90% CONFIDENCE INTERVAL 
(UPPER BOUND OF THE PERCENT)
2019"
Idaho,Graduate Degree,"83,000",9.4,8.8,10.0
Illinois,Not a high school graduate,"614,000",9.2,9.0,9.4
Illinois,High school diploma or GED,"2,910,000",43.8,43.4,44.1
Illinois,Associate's Degree,"580,000",8.7,8.5,8.9
Illinois,Bachelor's Degree,"1,575,000",23.7,23.4,24.0
Illinois,Graduate Degree,"971,000",14.6,14.4,14.8
Indiana,Not a high school graduate,"338,000",9.9,9.6,10.2
Indiana,High school diploma or GED,"1,766,000",51.7,51.1,52.3
Indiana,Associate's Degree,"336,000",9.8,9.6,10.1
Indiana,Bachelor's Degree,"659,000",19.3,18.9,19.6
Indiana,Graduate Degree,"319,000",9.3,9.1,9.6
Iowa,Not a high school graduate,"107,000",6.8,6.5,7.1
Iowa,High school diploma or GED,"759,000",48.4,47.7,49.1
Iowa,Associate's Degree,"212,000",13.5,13.1,13.9
Iowa,Bachelor's Degree,"340,000",21.6,21.1,22.1
Iowa,Graduate Degree,"152,000",9.7,9.4,10.0
Kansas,Not a high school graduate,"118,000",8.2,7.8,8.6
Kansas,High school diploma or GED,"668,000",46.4,45.6,47.2
Kansas,Associate's Degree,"145,000",10.1,9.7,10.5
Kansas,Bachelor's Degree,"330,000",22.9,22.4,23.4
Kansas,Graduate Degree,"179,000",12.4,12.0,12.8
Kentucky,Not a high school graduate,"250,000",10.9,10.6,11.2
Kentucky,High school diploma or GED,"1,215,000",53.0,52.3,53.7
Kentucky,Associate's Degree,"219,000",9.6,9.2,9.9
Kentucky,Bachelor's Degree,"373,000",16.3,15.9,16.7
Kentucky,Graduate Degree,"236,000",10.3,10.0,10.6
Louisiana,Not a high school graduate,"314,000",13.1,12.6,13.5
Louisiana,High school diploma or GED,"1,294,000",54.0,53.1,54.8
Louisiana,Associate's Degree,"174,000",7.3,7.0,7.6
Louisiana,Bachelor's Degree,"408,000",17.0,16.5,17.5
Louisiana,Graduate Degree,"208,000",8.7,8.3,9.0
Maine,Not a high school graduate,"38,000",5.3,4.9,5.8
Maine,High school diploma or GED,"352,000",49.9,48.7,51.0
Maine,Associate's Degree,"78,000",11.1,10.5,11.7
Maine,Bachelor's Degree,"156,000",22.2,21.4,23.0
Maine,Graduate Degree,"81,000",11.5,10.9,12.1
Maryland,Not a high school graduate,"273,000",8.5,8.2,8.8
Maryland,High school diploma or GED,"1,349,000",41.9,41.3,42.4
Maryland,Associate's Degree,"234,000",7.3,7.0,7.5
Maryland,Bachelor's Degree,"747,000",23.2,22.8,23.6
Maryland,Graduate Degree,"621,000",19.3,18.9,19.6
Massachusetts,Not a high school graduate,"268,000",7.3,7.0,7.5
Massachusetts,High school diploma or GED,"1,369,000",37.2,36.7,37.7
Massachusetts,Associate's Degree,"275,000",7.5,7.2,7.7
Massachusetts,Bachelor's Degree,"998,000",27.1,26.7,27.5
Massachusetts,Graduate Degree,"769,000",20.9,20.6,21.3
Michigan,Not a high school graduate,"404,000",7.9,7.7,8.1
Michigan,High school diploma or GED,"2,588,000",50.5,50.0,50.9
Michigan,Associate's Degree,"516,000",10.1,9.9,10.3
Michigan,Bachelor's Degree,"1,019,000",19.9,19.6,20.1
Michigan,Graduate Degree,"601,000",11.7,11.5,11.9
Minnesota,Not a high school graduate,"167,000",5.7,5.5,5.9
Minnesota,High school diploma or GED,"1,225,000",41.9,41.4,42.4
Minnesota,Associate's Degree,"375,000",12.8,12.5,13.1
Minnesota,Bachelor's Degree,"776,000",26.5,26.2,26.9
Minnesota,Graduate Degree,"383,000",13.1,12.8,13.4
Mississippi,Not a high school graduate,"191,000",12.8,12.2,13.4
Mississippi,High school diploma or GED,"787,000",52.7,51.7,53.7
Mississippi,Associate's Degree,"178,000",11.9,11.4,12.5
Mississippi,Bachelor's Degree,"211,000",14.1,13.6,14.6
Mississippi,Graduate Degree,"126,000",8.5,8.0,8.9
Missouri,Not a high school graduate,"261,000",8.3,8.0,8.6
Missouri,High school diploma or GED,"1,596,000",50.7,50.1,51.3
Missouri,Associate's Degree,"274,000",8.7,8.5,9.0
Missouri,Bachelor's Degree,"634,000",20.1,19.7,20.5
Missouri,Graduate Degree,"383,000",12.2,11.9,12.5
Montana,Not a high school graduate,"27,000",5.0,4.6,5.5
Montana,High school diploma or GED,"267,000",49.9,48.5,51.3
Montana,Associate's Degree,"54,000",10.2,9.5,10.8
Montana,Bachelor's Degree,"134,000",25.0,24.2,25.9
Montana,Graduate Degree,"53,000",9.9,9.2,10.5
Nebraska,Not a high school graduate,"75,000",7.8,7.4,8.2
Nebraska,High school diploma or GED,"423,000",44.1,43.2,45.0
Nebraska,Associate's Degree,"118,000",12.3,11.8,12.8
Nebraska,Bachelor's Degree,"229,000",23.9,23.2,24.5
Nebraska,Graduate Degree,"114,000",11.9,11.5,12.4
Nevada,Not a high school graduate,"224,000",13.7,13.1,14.2
Nevada,High school diploma or GED,"855,000",52.2,51.3,53.1
Nevada,Associate's Degree,"146,000",8.9,8.5,9.3
Nevada,Bachelor's Degree,"276,000",16.9,16.4,17.4
Nevada,Graduate Degree,"137,000",8.3,8.0,8.7
New Hampshire,Not a high school graduate,"43,000",5.9,5.4,6.4
New Hampshire,High school diploma or GED,"328,000",45.2,44.0,46.4
New Hampshire,Associate's Degree,"75,000",10.3,9.8,10.9
New Hampshire,Bachelor's Degree,"176,000",24.2,23.3,25.0
New Hampshire,Graduate Degree,"105,000",14.4,13.8,15.1
New Jersey,Not a high school graduate,"385,000",8.2,7.9,8.4
New Jersey,High school diploma or GED,"1,932,000",41.0,40.5,41.4
New Jersey,Associate's Degree,"323,000",6.8,6.6,7.0
New Jersey,Bachelor's Degree,"1,295,000",27.5,27.1,27.8
New Jersey,Graduate Degree,"782,000",16.6,16.3,16.9
New Mexico,Not a high school graduate,"139,000",13.3,12.6,13.9
New Mexico,High school diploma or GED,"528,000",50.4,49.3,51.5
New Mexico,Associate's Degree,"106,000",10.1,9.5,10.7
New Mexico,Bachelor's Degree,"163,000",15.5,14.9,16.2
New Mexico,Graduate Degree,"112,000",10.7,10.2,11.2
New York,Not a high school graduate,"1,105,000",10.7,10.5,10.8
New York,High school diploma or GED,"4,103,000",39.6,39.3,39.9
New York,Associate's Degree,"984,000",9.5,9.3,9.6
New York,Bachelor's Degree,"2,431,000",23.4,23.2,23.7
New York,Graduate Degree,"1,746,000",16.8,16.6,17.0
North Carolina,Not a high school graduate,"574,000",10.6,10.3,10.8
North Carolina,High school diploma or GED,"2,437,000",44.8,44.3,45.3
North Carolina,Associate's Degree,"579,000",10.7,10.4,10.9
North Carolina,Bachelor's Degree,"1,196,000",22.0,21.7,22.3
North Carolina,Graduate Degree,"650,000",11.9,11.7,12.2
North Dakota,Not a high school graduate,"19,000",4.8,4.2,5.5
North Dakota,High school diploma or GED,"179,000",46.5,44.8,48.2
North Dakota,Associate's Degree,"62,000",16.2,15.2,17.1
North Dakota,Bachelor's Degree,"90,000",23.5,22.4,24.6
North Dakota,Graduate Degree,"35,000",9.0,8.2,9.8
Ohio,Not a high school graduate,"484,000",8.1,7.9,8.2
Ohio,High school diploma or GED,"3,070,000",51.1,50.7,51.5
Ohio,Associate's Degree,"579,000",9.6,9.4,9.8
Ohio,Bachelor's Degree,"1,195,000",19.9,19.6,20.2
Ohio,Graduate Degree,"679,000",11.3,11.1,11.5
Oklahoma,Not a high school graduate,"222,000",11.2,10.9,11.5
Oklahoma,High school diploma or GED,"1,065,000",53.7,53.0,54.3
Oklahoma,Associate's Degree,"168,000",8.5,8.2,8.7
Oklahoma,Bachelor's Degree,"356,000",17.9,17.5,18.3
Oklahoma,Graduate Degree,"173,000",8.7,8.5,9.0
Oregon,Not a high school graduate,"198,000",8.9,8.5,9.3
Oregon,High school diploma or GED,"1,032,000",46.5,45.7,47.2
Oregon,Associate's Degree,"208,000",9.4,9.0,9.7
Oregon,Bachelor's Degree,"491,000",22.1,21.7,22.6
Oregon,Graduate Degree,"291,000",13.1,12.7,13.5
Pennsylvania,Not a high school graduate,"521,000",7.9,7.7,8.0
Pennsylvania,High school diploma or GED,"3,171,000",47.8,47.4,48.2
Pennsylvania,Associate's Degree,"631,000",9.5,9.3,9.7
Pennsylvania,Bachelor's Degree,"1,438,000",21.6,21.4,21.9
Pennsylvania,Graduate Degree,"878,000",13.2,13.0,13.4
Rhode Island,Not a high school graduate,"51,000",9.1,8.3,10.0
Rhode Island,High school diploma or GED,"251,000",44.9,43.4,46.4
Rhode Island,Associate's Degree,"52,000",9.3,8.5,10.0
Rhode Island,Bachelor's Degree,"129,000",23.0,22.0,23.9
Rhode Island,Graduate Degree,"77,000",13.7,13.0,14.4
South Carolina,Not a high school graduate,"281,000",10.7,10.3,11.1
South Carolina,High school diploma or GED,"1,277,000",48.6,47.9,49.3
South Carolina,Associate's Degree,"278,000",10.6,10.2,10.9
South Carolina,Bachelor's Degree,"509,000",19.4,18.9,19.8
South Carolina,Graduate Degree,"282,000",10.7,10.4,11.1
South Dakota,Not a high school graduate,"31,000",7.2,6.4,7.9
South Dakota,High school diploma or GED,"208,000",47.8,46.5,49.2
South Dakota,Associate's Degree,"59,000",13.5,12.8,14.3
South Dakota,Bachelor's Degree,"96,000",22.1,21.2,23.0
South Dakota,Graduate Degree,"41,000",9.4,8.7,10.1
Tennessee,Not a high school graduate,"368,000",10.4,10.1,10.7
Tennessee,High school diploma or GED,"1,812,000",51.0,50.4,51.6
Tennessee,Associate's Degree,"290,000",8.2,7.9,8.4
Tennessee,Bachelor's Degree,"698,000",19.6,19.3,20.0
Tennessee,Graduate Degree,"388,000",10.9,10.6,11.2
Texas,Not a high school graduate,"2,155,000",14.3,14.1,14.5
Texas,High school diploma or GED,"6,946,000",46.2,45.9,46.5
Texas,Associate's Degree,"1,180,000",7.8,7.7,8.0
Texas,Bachelor's Degree,"3,147,000",20.9,20.7,21.1
Texas,Graduate Degree,"1,607,000",10.7,10.5,10.8
Utah,Not a high school graduate,"108,000",7.0,6.6,7.3
Utah,High school diploma or GED,"736,000",47.6,46.7,48.5
Utah,Associate's Degree,"156,000",10.1,9.6,10.5
Utah,Bachelor's Degree,"376,000",24.3,23.8,24.9
Utah,Graduate Degree,"171,000",11.1,10.7,11.4
Vermont,Not a high school graduate,"20,000",6.4,5.7,7.1
Vermont,High school diploma or GED,"144,000",44.9,43.4,46.4
Vermont,Associate's Degree,"29,000",9.0,8.3,9.7
Vermont,Bachelor's Degree,"77,000",24.1,23.1,25.2
Vermont,Graduate Degree,"50,000",15.6,14.7,16.5
Virginia,Not a high school graduate,"388,000",8.6,8.4,8.9
Virginia,High school diploma or GED,"1,868,000",41.4,40.9,41.9
Virginia,Associate's Degree,"383,000",8.5,8.2,8.7
Virginia,Bachelor's Degree,"1,084,000",24.0,23.7,24.3
Virginia,Graduate Degree,"791,000",17.5,17.2,17.8
Washington,Not a high school graduate,"337,000",8.3,8.0,8.5
Washington,High school diploma or GED,"1,779,000",43.6,43.0,44.1
Washington,Associate's Degree,"426,000",10.4,10.2,10.7
Washington,Bachelor's Degree,"967,000",23.7,23.3,24.0
Washington,Graduate Degree,"573,000",14.0,13.7,14.3
West Virginia,Not a high school graduate,"94,000",10.3,9.7,10.9
West Virginia,High school diploma or GED,"530,000",58.0,56.9,59.2
West Virginia,Associate's Degree,"83,000",9.1,8.6,9.7
West Virginia,Bachelor's Degree,"129,000",14.1,13.5,14.7
West Virginia,Graduate Degree,"77,000",8.5,8.0,9.0
Wisconsin,Not a high school graduate,"198,000",6.6,6.4,6.8
Wisconsin,High school diploma or GED,"1,429,000",47.7,47.2,48.2
Wisconsin,Associate's Degree,"368,000",12.3,12.0,12.5
Wisconsin,Bachelor's Degree,"680,000",22.7,22.3,23.1
Wisconsin,Graduate Degree,"321,000",10.7,10.4,11.0
Wyoming,Not a high school graduate,"15,000",5.3,4.6,5.9
Wyoming,High school diploma or GED,"157,000",53.9,51.9,56.0
Wyoming,Associate's Degree,"36,000",12.4,11.3,13.5
Wyoming,Bachelor's Degree,"55,000",19.0,17.7,20.3
Wyoming,Graduate Degree,"27,000",9.4,8.5,10.3
Puerto Rico,Not a high school graduate,"212,000",13.1,12.6,13.6
Puerto Rico,High school diploma or GED,"682,000",42.1,41.2,42.9
Puerto Rico,Associate's Degree,"221,000",13.6,13.1,14.2
Puerto Rico,Bachelor's Degree,"359,000",22.1,21.5,22.8
Puerto Rico,Graduate Degree,"147,000",9.1,8.7,9.5
Mesa,Not a high school graduate,"26,000",10.0,8.8,11.2
Mesa,High school diploma or GED,"129,000",49.9,47.8,52.0
Mesa,Associate's Degree,"27,000",10.6,9.6,11.7
Mesa,Bachelor's Degree,"53,000",20.5,19.0,22.0
Mesa,Graduate Degree,"23,000",9.0,8.1,9.8
Phoenix,Not a high school graduate,"163,000",17.9,17.0,18.8
Phoenix,High school diploma or GED,"420,000",46.0,44.9,47.2
Phoenix,Associate's Degree,"69,000",7.5,7.0,8.0
Phoenix,Bachelor's Degree,"169,000",18.5,17.8,19.3
Phoenix,Graduate Degree,"92,000",10.0,9.5,10.5
Tucson,Not a high school graduate,"42,000",15.5,14.1,16.9
Tucson,High school diploma or GED,"137,000",50.3,48.2,52.4
Tucson,Associate's Degree,"20,000",7.4,6.6,8.3
Tucson,Bachelor's Degree,"45,000",16.7,15.4,17.9
Tucson,Graduate Degree,"27,000",10.1,9.2,11.0
Fresno,Not a high school graduate,"58,000",22.0,20.4,23.5
Fresno,High school diploma or GED,"121,000",45.8,43.6,47.9
Fresno,Associate's Degree,"29,000",10.8,9.7,11.9
Fresno,Bachelor's Degree,"40,000",15.2,13.9,16.4
Fresno,Graduate Degree,"17,000",6.3,5.5,7.2
Long Beach,Not a high school graduate,"48,000",18.6,17.2,20.0
Long Beach,High school diploma or GED,"108,000",41.6,39.7,43.5
Long Beach,Associate's Degree,"17,000",6.4,5.6,7.3
Long Beach,Bachelor's Degree,"59,000",22.8,21.5,24.2
Long Beach,Graduate Degree,"27,000",10.6,9.6,11.5
Los Angeles,Not a high school graduate,"456,000",20.2,19.8,20.7
Los Angeles,High school diploma or GED,"819,000",36.3,35.6,36.9
Los Angeles,Associate's Degree,"146,000",6.5,6.2,6.7
Los Angeles,Bachelor's Degree,"571,000",25.3,24.8,25.8
Los Angeles,Graduate Degree,"266,000",11.8,11.4,12.1
Oakland,Not a high school graduate,"32,000",12.6,11.4,13.8
Oakland,High school diploma or GED,"79,000",30.9,29.0,32.7
Oakland,Associate's Degree,"14,000",5.4,4.6,6.2
Oakland,Bachelor's Degree,"78,000",30.7,29.0,32.3
Oakland,Graduate Degree,"52,000",20.5,19.2,21.8
Sacramento,Not a high school graduate,"33,000",11.9,10.7,13.0
Sacramento,High school diploma or GED,"129,000",46.5,44.6,48.5
Sacramento,Associate's Degree,"20,000",7.1,6.3,7.9
Sacramento,Bachelor's Degree,"64,000",23.2,21.8,24.7
Sacramento,Graduate Degree,"31,000",11.3,10.3,12.3
San Diego,Not a high school graduate,"73,000",9.1,8.4,9.7
San Diego,High school diploma or GED,"279,000",34.9,33.7,36.2
San Diego,Associate's Degree,"56,000",7.1,6.5,7.6
San Diego,Bachelor's Degree,"239,000",29.9,28.9,30.9
San Diego,Graduate Degree,"152,000",19.0,18.2,19.8
San Francisco,Not a high school graduate,"46,000",8.3,7.5,9.0
San Francisco,High school diploma or GED,"127,000",22.7,21.3,24.0
San Francisco,Associate's Degree,"27,000",4.8,4.3,5.3
San Francisco,Bachelor's Degree,"217,000",38.7,37.5,39.9
San Francisco,Graduate Degree,"143,000",25.5,24.5,26.6
San Jose,Not a high school graduate,"72,000",12.6,11.8,13.4
San Jose,High school diploma or GED,"187,000",32.6,31.4,33.9
San Jose,Associate's Degree,"42,000",7.4,6.8,8.0
San Jose,Bachelor's Degree,"152,000",26.5,25.5,27.4
San Jose,Graduate Degree,"120,000",20.9,20.1,21.7
Colorado Springs,Not a high school graduate,"14,000",5.4,4.5,6.4
Colorado Springs,High school diploma or GED,"109,000",43.2,41.2,45.3
Colorado Springs,Associate's Degree,"28,000",11.1,10.0,12.3
Colorado Springs,Bachelor's Degree,"66,000",26.3,24.9,27.8
Colorado Springs,Graduate Degree,"35,000",13.9,12.9,14.9
Denver,Not a high school graduate,"35,000",7.8,6.9,8.7
Denver,High school diploma or GED,"143,000",32.3,30.7,33.9
Denver,Associate's Degree,"23,000",5.1,4.5,5.7
Denver,Bachelor's Degree,"154,000",34.8,33.5,36.0
Denver,Graduate Degree,"89,000",20.0,19.1,21.0
Jacksonville,Not a high school graduate,"45,000",9.1,8.2,10.0
Jacksonville,High school diploma or GED,"249,000",50.4,48.7,52.2
Jacksonville,Associate's Degree,"54,000",11.0,10.1,11.9
Jacksonville,Bachelor's Degree,"99,000",20.0,18.7,21.2
Jacksonville,Graduate Degree,"47,000",9.5,8.7,10.4
Miami,Not a high school graduate,"46,000",16.7,15.1,18.4
Miami,High school diploma or GED,"110,000",39.7,37.3,42.0
Miami,Associate's Degree,"23,000",8.2,7.1,9.3
Miami,Bachelor's Degree,"61,000",21.9,20.1,23.8
Miami,Graduate Degree,"37,000",13.5,12.2,14.9
Atlanta,Not a high school graduate,"20,000",6.7,5.6,7.9
Atlanta,High school diploma or GED,"83,000",28.6,26.6,30.5
Atlanta,Associate's Degree,"17,000",5.8,4.8,6.8
Atlanta,Bachelor's Degree,"100,000",34.5,32.7,36.3
Atlanta,Graduate Degree,"71,000",24.4,22.9,25.8
Chicago,Not a high school graduate,"183,000",12.0,11.5,12.5
Chicago,High school diploma or GED,"561,000",36.7,35.9,37.5
Chicago,Associate's Degree,"93,000",6.1,5.7,6.5
Chicago,Bachelor's Degree,"408,000",26.7,26.1,27.3
Chicago,Graduate Degree,"283,000",18.5,18.0,19.0
Indianapolis,Not a high school graduate,"61,000",13.2,12.1,14.3
Indianapolis,High school diploma or GED,"214,000",46.4,44.6,48.2
Indianapolis,Associate's Degree,"38,000",8.2,7.4,8.9
Indianapolis,Bachelor's Degree,"98,000",21.2,20.1,22.4
Indianapolis,Graduate Degree,"51,000",11.1,10.2,11.9
Wichita,Not a high school graduate,"22,000",10.9,9.7,12.1
Wichita,High school diploma or GED,"98,000",49.3,47.0,51.5
Wichita,Associate's Degree,"17,000",8.5,7.5,9.5
Wichita,Bachelor's Degree,"41,000",20.9,19.5,22.2
Wichita,Graduate Degree,"21,000",10.5,9.5,11.5
Louisville,Not a high school graduate,"28,000",8.6,7.7,9.6
Louisville,High school diploma or GED,"160,000",48.7,46.8,50.5
Louisville,Associate's Degree,"29,000",8.7,7.8,9.6
Louisville,Bachelor's Degree,"72,000",21.9,20.5,23.3
Louisville,Graduate Degree,"40,000",12.1,11.2,13.1
Baltimore,Not a high school graduate,"38,000",11.5,10.4,12.7
Baltimore,High school diploma or GED,"159,000",47.9,45.6,50.2
Baltimore,Associate's Degree,"16,000",4.7,4.0,5.5
Baltimore,Bachelor's Degree,"64,000",19.2,18.0,20.3
Baltimore,Graduate Degree,"55,000",16.6,15.6,17.6
Boston,Not a high school graduate,"35,000",8.8,7.9,9.7
Boston,High school diploma or GED,"121,000",30.2,28.7,31.7
Boston,Associate's Degree,"21,000",5.3,4.5,6.0
Boston,Bachelor's Degree,"123,000",30.5,29.3,31.7
Boston,Graduate Degree,"101,000",25.2,24.2,26.2
Detroit,Not a high school graduate,"54,000",15.5,14.4,16.7
Detroit,High school diploma or GED,"209,000",60.5,58.6,62.4
Detroit,Associate's Degree,"25,000",7.2,6.4,8.0
Detroit,Bachelor's Degree,"35,000",10.2,9.3,11.2
Detroit,Graduate Degree,"22,000",6.5,5.8,7.2
Minneapolis,Not a high school graduate,"20,000",8.1,7.1,9.1
Minneapolis,High school diploma or GED,"74,000",30.4,28.7,32.2
Minneapolis,Associate's Degree,"19,000",7.9,7.0,8.8
Minneapolis,Bachelor's Degree,"81,000",33.0,31.6,34.3
Minneapolis,Graduate Degree,"50,000",20.5,19.3,21.8
Kansas City,Not a high school graduate,"23,000",8.4,7.4,9.3
Kansas City,High school diploma or GED,"126,000",46.1,44.1,48.0
Kansas City,Associate's Degree,"21,000",7.5,6.7,8.4
Kansas City,Bachelor's Degree,"69,000",25.1,23.8,26.5
Kansas City,Graduate Degree,"35,000",12.9,11.9,13.9
Omaha,Not a high school graduate,"24,000",9.8,8.7,11.0
Omaha,High school diploma or GED,"102,000",41.5,39.7,43.3
Omaha,Associate's Degree,"18,000",7.3,6.5,8.0
Omaha,Bachelor's Degree,"66,000",26.8,25.4,28.2
Omaha,Graduate Degree,"36,000",14.6,13.5,15.7
Las Vegas,Not a high school graduate,"58,000",16.8,15.6,18.0
Las Vegas,High school diploma or GED,"176,000",51.1,49.5,52.7
Las Vegas,Associate's Degree,"27,000",7.8,7.0,8.6
Las Vegas,Bachelor's Degree,"55,000",15.9,14.8,16.9
Las Vegas,Graduate Degree,"29,000",8.5,7.7,9.3
Albuquerque,Not a high school graduate,"31,000",10.4,9.3,11.6
Albuquerque,High school diploma or GED,"131,000",44.3,42.1,46.5
Albuquerque,Associate's Degree,"29,000",9.9,8.8,11.0
Albuquerque,Bachelor's Degree,"62,000",20.9,19.5,22.3
Albuquerque,Graduate Degree,"43,000",14.5,13.5,15.6
New York City,Not a high school graduate,"639,000",13.8,13.5,14.1
New York City,High school diploma or GED,"1,734,000",37.3,36.8,37.8
New York City,Associate's Degree,"316,000",6.8,6.6,7.0
New York City,Bachelor's Degree,"1,178,000",25.3,25.0,25.7
New York City,Graduate Degree,"781,000",16.8,16.5,17.1
Charlotte,Not a high school graduate,"51,000",10.1,9.2,11.0
Charlotte,High school diploma or GED,"176,000",35.1,33.5,36.6
Charlotte,Associate's Degree,"39,000",7.8,7.1,8.6
Charlotte,Bachelor's Degree,"154,000",30.7,29.5,32.0
Charlotte,Graduate Degree,"82,000",16.2,15.4,17.1
Raleigh,Not a high school graduate,"21,000",7.9,6.7,9.1
Raleigh,High school diploma or GED,"87,000",33.2,31.0,35.4
Raleigh,Associate's Degree,"18,000",6.9,6.0,7.9
Raleigh,Bachelor's Degree,"88,000",33.3,31.7,34.9
Raleigh,Graduate Degree,"49,000",18.7,17.3,20.1
Cleveland,Not a high school graduate,"35,000",16.7,15.3,18.2
Cleveland,High school diploma or GED,"114,000",55.1,52.9,57.3
Cleveland,Associate's Degree,"17,000",8.2,7.2,9.2
Cleveland,Bachelor's Degree,"25,000",12.2,11.1,13.3
Cleveland,Graduate Degree,"16,000",7.7,6.8,8.6
Columbus,Not a high school graduate,"42,000",8.4,7.6,9.2
Columbus,High school diploma or GED,"219,000",43.6,41.9,45.2
Columbus,Associate's Degree,"36,000",7.1,6.4,7.8
Columbus,Bachelor's Degree,"138,000",27.5,26.3,28.7
Columbus,Graduate Degree,"68,000",13.5,12.7,14.3
Oklahoma City,Not a high school graduate,"48,000",13.8,12.7,14.9
Oklahoma City,High school diploma or GED,"164,000",47.5,45.7,49.4
Oklahoma City,Associate's Degree,"25,000",7.3,6.5,8.0
Oklahoma City,Bachelor's Degree,"69,000",19.9,18.7,21.1
