REGION,Educational Attainment," NUMBER OF PERSONS
AGES 25-64
2017 ","PERCENT OF PERSONS
AGES 25-64
2017","90% CONFIDENCE INTERVAL
(LOWER BOUND OF THE PERCENT)
2017","90% CONFIDENCE INTERVAL 
(UPPER BOUND OF THE PERCENT)
2017"
Missouri,Not a high school graduate,"287,000",9.1,8.8,9.4
Missouri,High school diploma or GED,"1,602,000",51.0,50.4,51.6
Missouri,Associate's Degree,"277,000",8.8,8.6,9.1
Missouri,Bachelor's Degree,"616,000",19.6,19.3,20.0
Missouri,Graduate Degree,"358,000",11.4,11.1,11.7
Montana,Not a high school graduate,"35,000",6.5,6.0,7.1
Montana,High school diploma or GED,"271,000",50.7,49.4,52.1
Montana,Associate's Degree,"54,000",10.1,9.5,10.7
Montana,Bachelor's Degree,"121,000",22.6,21.7,23.5
Montana,Graduate Degree,"54,000",10.0,9.4,10.7
Nebraska,Not a high school graduate,"81,000",8.4,7.9,8.8
Nebraska,High school diploma or GED,"447,000",46.4,45.5,47.2
Nebraska,Associate's Degree,"112,000",11.6,11.2,12.1
Nebraska,Bachelor's Degree,"219,000",22.7,22.1,23.3
Nebraska,Graduate Degree,"105,000",10.9,10.5,11.3
Nevada,Not a high school graduate,"214,000",13.3,12.8,13.8
Nevada,High school diploma or GED,"863,000",53.8,52.9,54.7
Nevada,Associate's Degree,"133,000",8.3,7.9,8.7
Nevada,Bachelor's Degree,"270,000",16.8,16.3,17.3
Nevada,Graduate Degree,"125,000",7.8,7.4,8.1
New Hampshire,Not a high school graduate,"43,000",5.9,5.4,6.4
New Hampshire,High school diploma or GED,"324,000",44.9,43.8,46.0
New Hampshire,Associate's Degree,"78,000",10.8,10.2,11.3
New Hampshire,Bachelor's Degree,"174,000",24.1,23.3,24.8
New Hampshire,Graduate Degree,"104,000",14.4,13.8,15.0
New Jersey,Not a high school graduate,"403,000",8.4,8.1,8.6
New Jersey,High school diploma or GED,"2,021,000",42.0,41.5,42.4
New Jersey,Associate's Degree,"350,000",7.3,7.1,7.5
New Jersey,Bachelor's Degree,"1,263,000",26.2,25.9,26.6
New Jersey,Graduate Degree,"781,000",16.2,16.0,16.5
New Mexico,Not a high school graduate,"137,000",13.1,12.5,13.7
New Mexico,High school diploma or GED,"539,000",51.8,50.6,52.9
New Mexico,Associate's Degree,"96,000",9.2,8.7,9.7
New Mexico,Bachelor's Degree,"160,000",15.4,14.8,16.0
New Mexico,Graduate Degree,"110,000",10.6,10.1,11.0
New York,Not a high school graduate,"1,247,000",11.7,11.5,11.9
New York,High school diploma or GED,"4,317,000",40.5,40.2,40.8
New York,Associate's Degree,"1,017,000",9.5,9.4,9.7
New York,Bachelor's Degree,"2,370,000",22.2,22.0,22.5
New York,Graduate Degree,"1,709,000",16.0,15.9,16.2
North Carolina,Not a high school graduate,"584,000",10.9,10.6,11.2
North Carolina,High school diploma or GED,"2,469,000",46.1,45.6,46.5
North Carolina,Associate's Degree,"541,000",10.1,9.9,10.3
North Carolina,Bachelor's Degree,"1,165,000",21.7,21.4,22.0
North Carolina,Graduate Degree,"602,000",11.2,11.0,11.4
North Dakota,Not a high school graduate,"19,000",4.9,4.4,5.5
North Dakota,High school diploma or GED,"178,000",46.6,45.2,48.0
North Dakota,Associate's Degree,"58,000",15.0,14.2,15.9
North Dakota,Bachelor's Degree,"92,000",23.9,22.8,25.1
North Dakota,Graduate Degree,"37,000",9.5,8.7,10.3
Ohio,Not a high school graduate,"512,000",8.5,8.3,8.7
Ohio,High school diploma or GED,"3,139,000",52.0,51.6,52.4
Ohio,Associate's Degree,"596,000",9.9,9.7,10.1
Ohio,Bachelor's Degree,"1,135,000",18.8,18.6,19.0
Ohio,Graduate Degree,"659,000",10.9,10.7,11.1
Oklahoma,Not a high school graduate,"224,000",11.3,10.9,11.6
Oklahoma,High school diploma or GED,"1,070,000",53.9,53.3,54.5
Oklahoma,Associate's Degree,"174,000",8.8,8.5,9.1
Oklahoma,Bachelor's Degree,"353,000",17.8,17.4,18.1
Oklahoma,Graduate Degree,"164,000",8.3,8.0,8.5
Oregon,Not a high school graduate,"202,000",9.2,8.8,9.6
Oregon,High school diploma or GED,"1,028,000",46.9,46.2,47.6
Oregon,Associate's Degree,"206,000",9.4,9.0,9.7
Oregon,Bachelor's Degree,"483,000",22.0,21.6,22.5
Oregon,Graduate Degree,"274,000",12.5,12.1,12.9
Pennsylvania,Not a high school graduate,"523,000",7.8,7.6,8.0
Pennsylvania,High school diploma or GED,"3,262,000",48.8,48.4,49.2
Pennsylvania,Associate's Degree,"631,000",9.4,9.3,9.6
Pennsylvania,Bachelor's Degree,"1,407,000",21.1,20.8,21.3
Pennsylvania,Graduate Degree,"862,000",12.9,12.7,13.1
Rhode Island,Not a high school graduate,"55,000",9.7,9.0,10.5
Rhode Island,High school diploma or GED,"263,000",46.8,45.4,48.3
Rhode Island,Associate's Degree,"47,000",8.4,7.7,9.0
Rhode Island,Bachelor's Degree,"123,000",22.0,21.1,22.9
Rhode Island,Graduate Degree,"73,000",13.1,12.4,13.8
South Carolina,Not a high school graduate,"294,000",11.4,11.0,11.7
South Carolina,High school diploma or GED,"1,287,000",49.9,49.2,50.6
South Carolina,Associate's Degree,"269,000",10.4,10.1,10.8
South Carolina,Bachelor's Degree,"474,000",18.4,18.0,18.8
South Carolina,Graduate Degree,"255,000",9.9,9.6,10.2
South Dakota,Not a high school graduate,"31,000",7.2,6.6,7.9
South Dakota,High school diploma or GED,"223,000",51.4,50.0,52.9
South Dakota,Associate's Degree,"53,000",12.3,11.5,13.0
South Dakota,Bachelor's Degree,"87,000",20.0,19.1,21.0
South Dakota,Graduate Degree,"39,000",9.0,8.4,9.6
Tennessee,Not a high school graduate,"369,000",10.5,10.2,10.8
Tennessee,High school diploma or GED,"1,857,000",52.8,52.2,53.4
Tennessee,Associate's Degree,"282,000",8.0,7.8,8.3
Tennessee,Bachelor's Degree,"651,000",18.5,18.2,18.9
Tennessee,Graduate Degree,"357,000",10.2,9.9,10.4
Texas,Not a high school graduate,"2,257,000",15.4,15.2,15.6
Texas,High school diploma or GED,"6,851,000",46.7,46.3,47.0
Texas,Associate's Degree,"1,140,000",7.8,7.6,7.9
Texas,Bachelor's Degree,"2,953,000",20.1,19.9,20.3
Texas,Graduate Degree,"1,482,000",10.1,10.0,10.2
Utah,Not a high school graduate,"117,000",7.8,7.4,8.2
Utah,High school diploma or GED,"701,000",47.0,46.2,47.8
Utah,Associate's Degree,"149,000",10.0,9.6,10.4
Utah,Bachelor's Degree,"353,000",23.7,23.2,24.2
Utah,Graduate Degree,"172,000",11.5,11.1,11.9
Vermont,Not a high school graduate,"21,000",6.4,5.8,7.1
Vermont,High school diploma or GED,"148,000",46.0,44.5,47.4
Vermont,Associate's Degree,"29,000",8.9,8.3,9.6
Vermont,Bachelor's Degree,"76,000",23.6,22.6,24.6
Vermont,Graduate Degree,"49,000",15.1,14.2,15.9
Virginia,Not a high school graduate,"393,000",8.7,8.5,9.0
Virginia,High school diploma or GED,"1,911,000",42.4,41.9,42.9
Virginia,Associate's Degree,"378,000",8.4,8.2,8.6
Virginia,Bachelor's Degree,"1,060,000",23.5,23.2,23.8
Virginia,Graduate Degree,"765,000",17.0,16.7,17.2
Washington,Not a high school graduate,"336,000",8.4,8.2,8.7
Washington,High school diploma or GED,"1,778,000",44.6,44.1,45.1
Washington,Associate's Degree,"424,000",10.6,10.4,10.9
Washington,Bachelor's Degree,"924,000",23.2,22.9,23.5
Washington,Graduate Degree,"523,000",13.1,12.9,13.4
West Virginia,Not a high school graduate,"97,000",10.5,9.9,11.0
West Virginia,High school diploma or GED,"559,000",60.2,59.2,61.2
West Virginia,Associate's Degree,"74,000",8.0,7.5,8.4
West Virginia,Bachelor's Degree,"125,000",13.5,12.9,14.1
West Virginia,Graduate Degree,"73,000",7.9,7.5,8.3
Wisconsin,Not a high school graduate,"199,000",6.6,6.4,6.9
Wisconsin,High school diploma or GED,"1,466,000",48.8,48.3,49.3
Wisconsin,Associate's Degree,"372,000",12.4,12.1,12.6
Wisconsin,Bachelor's Degree,"646,000",21.5,21.2,21.9
Wisconsin,Graduate Degree,"319,000",10.6,10.4,10.9
Wyoming,Not a high school graduate,"20,000",6.9,6.0,7.7
Wyoming,High school diploma or GED,"161,000",54.0,52.1,55.9
Wyoming,Associate's Degree,"34,000",11.4,10.4,12.3
Wyoming,Bachelor's Degree,"53,000",17.9,16.7,19.0
Wyoming,Graduate Degree,"29,000",9.9,9.0,10.7
Puerto Rico,Not a high school graduate,"259,000",15.4,14.8,15.9
Puerto Rico,High school diploma or GED,"721,000",42.8,41.8,43.7
Puerto Rico,Associate's Degree,"207,000",12.3,11.8,12.8
Puerto Rico,Bachelor's Degree,"361,000",21.4,20.7,22.1
Puerto Rico,Graduate Degree,"138,000",8.2,7.7,8.6
Mesa,Not a high school graduate,"29,000",11.8,10.6,13.0
Mesa,High school diploma or GED,"125,000",50.1,48.5,51.8
Mesa,Associate's Degree,"22,000",9.0,8.0,9.9
Mesa,Bachelor's Degree,"52,000",20.9,19.5,22.3
Mesa,Graduate Degree,"20,000",8.2,7.3,9.0
Phoenix,Not a high school graduate,"158,000",18.3,17.5,19.1
Phoenix,High school diploma or GED,"391,000",45.2,44.1,46.3
Phoenix,Associate's Degree,"69,000",8.0,7.5,8.5
Phoenix,Bachelor's Degree,"162,000",18.7,18.0,19.5
Phoenix,Graduate Degree,"84,000",9.7,9.2,10.2
Tucson,Not a high school graduate,"36,000",13.5,12.4,14.7
Tucson,High school diploma or GED,"129,000",49.0,47.1,50.8
Tucson,Associate's Degree,"27,000",10.2,9.1,11.2
Tucson,Bachelor's Degree,"45,000",17.2,16.0,18.4
Tucson,Graduate Degree,"27,000",10.1,9.2,11.1
Fresno,Not a high school graduate,"57,000",21.8,20.4,23.3
Fresno,High school diploma or GED,"123,000",46.9,44.9,48.9
Fresno,Associate's Degree,"27,000",10.1,9.2,11.1
Fresno,Bachelor's Degree,"38,000",14.5,13.2,15.9
Fresno,Graduate Degree,"17,000",6.6,5.8,7.4
Long Beach,Not a high school graduate,"50,000",19.0,17.8,20.3
Long Beach,High school diploma or GED,"109,000",41.7,40.0,43.4
Long Beach,Associate's Degree,"20,000",7.5,6.7,8.4
Long Beach,Bachelor's Degree,"56,000",21.5,20.2,22.8
Long Beach,Graduate Degree,"27,000",10.2,9.3,11.1
Los Angeles,Not a high school graduate,"487,000",21.5,21.0,21.9
Los Angeles,High school diploma or GED,"842,000",37.1,36.5,37.6
Los Angeles,Associate's Degree,"140,000",6.2,5.9,6.4
Los Angeles,Bachelor's Degree,"544,000",23.9,23.5,24.4
Los Angeles,Graduate Degree,"259,000",11.4,11.1,11.7
Oakland,Not a high school graduate,"44,000",17.3,15.9,18.6
Oakland,High school diploma or GED,"84,000",33.2,31.5,35.0
Oakland,Associate's Degree,"14,000",5.6,4.8,6.4
Oakland,Bachelor's Degree,"66,000",26.2,24.9,27.5
Oakland,Graduate Degree,"45,000",17.7,16.6,18.9
Sacramento,Not a high school graduate,"35,000",12.7,11.5,13.8
Sacramento,High school diploma or GED,"125,000",45.0,43.0,47.0
Sacramento,Associate's Degree,"25,000",8.9,7.9,10.0
Sacramento,Bachelor's Degree,"59,000",21.2,19.8,22.5
Sacramento,Graduate Degree,"34,000",12.2,11.3,13.2
San Diego,Not a high school graduate,"79,000",9.8,9.2,10.4
San Diego,High school diploma or GED,"286,000",35.6,34.5,36.7
San Diego,Associate's Degree,"63,000",7.8,7.3,8.4
San Diego,Bachelor's Degree,"229,000",28.5,27.6,29.5
San Diego,Graduate Degree,"146,000",18.2,17.5,19.0
San Francisco,Not a high school graduate,"47,000",8.3,7.6,8.9
San Francisco,High school diploma or GED,"138,000",24.4,23.3,25.5
San Francisco,Associate's Degree,"27,000",4.7,4.2,5.2
San Francisco,Bachelor's Degree,"218,000",38.6,37.5,39.6
San Francisco,Graduate Degree,"136,000",24.1,23.1,25.0
San Jose,Not a high school graduate,"78,000",13.4,12.6,14.1
San Jose,High school diploma or GED,"197,000",33.7,32.5,35.0
San Jose,Associate's Degree,"43,000",7.4,6.8,8.0
San Jose,Bachelor's Degree,"153,000",26.3,25.4,27.2
San Jose,Graduate Degree,"112,000",19.2,18.4,20.0
Colorado Springs,Not a high school graduate,"15,000",6.0,5.1,6.9
Colorado Springs,High school diploma or GED,"107,000",44.4,42.4,46.3
Colorado Springs,Associate's Degree,"25,000",10.5,9.4,11.6
Colorado Springs,Bachelor's Degree,"61,000",25.2,23.9,26.6
Colorado Springs,Graduate Degree,"34,000",13.9,12.9,14.9
Denver,Not a high school graduate,"47,000",11.0,10.1,11.9
Denver,High school diploma or GED,"140,000",32.8,31.3,34.4
Denver,Associate's Degree,"23,000",5.5,4.8,6.1
Denver,Bachelor's Degree,"136,000",31.9,30.8,33.1
Denver,Graduate Degree,"80,000",18.8,17.8,19.7
Jacksonville,Not a high school graduate,"46,000",9.4,8.5,10.3
Jacksonville,High school diploma or GED,"248,000",50.9,49.1,52.6
Jacksonville,Associate's Degree,"54,000",11.1,10.2,12.0
Jacksonville,Bachelor's Degree,"97,000",19.8,18.7,21.0
Jacksonville,Graduate Degree,"43,000",8.8,8.1,9.5
Miami,Not a high school graduate,"42,000",15.5,14.1,16.9
Miami,High school diploma or GED,"118,000",43.9,41.8,46.1
Miami,Associate's Degree,"22,000",8.2,7.1,9.3
Miami,Bachelor's Degree,"54,000",20.0,18.4,21.6
Miami,Graduate Degree,"33,000",12.3,11.2,13.5
Atlanta,Not a high school graduate,"22,000",7.9,6.9,8.9
Atlanta,High school diploma or GED,"94,000",34.3,32.4,36.3
Atlanta,Associate's Degree,"17,000",6.4,5.4,7.4
Atlanta,Bachelor's Degree,"83,000",30.1,28.7,31.5
Atlanta,Graduate Degree,"59,000",21.3,20.1,22.5
Chicago,Not a high school graduate,"202,000",13.1,12.6,13.5
Chicago,High school diploma or GED,"610,000",39.4,38.7,40.1
Chicago,Associate's Degree,"90,000",5.8,5.5,6.1
Chicago,Bachelor's Degree,"391,000",25.3,24.7,25.9
Chicago,Graduate Degree,"254,000",16.4,16.0,16.9
Indianapolis,Not a high school graduate,"69,000",14.9,13.8,16.0
Indianapolis,High school diploma or GED,"205,000",44.4,42.8,45.9
Indianapolis,Associate's Degree,"35,000",7.5,6.7,8.2
Indianapolis,Bachelor's Degree,"99,000",21.5,20.5,22.5
Indianapolis,Graduate Degree,"55,000",11.8,11.0,12.6
Wichita,Not a high school graduate,"22,000",11.2,10.1,12.4
Wichita,High school diploma or GED,"99,000",49.7,47.6,51.8
Wichita,Associate's Degree,"18,000",9.0,8.0,10.1
Wichita,Bachelor's Degree,"39,000",19.4,18.0,20.8
Wichita,Graduate Degree,"21,000",10.7,9.6,11.8
Louisville,Not a high school graduate,"29,000",8.7,7.7,9.6
Louisville,High school diploma or GED,"172,000",51.8,49.9,53.7
Louisville,Associate's Degree,"27,000",8.1,7.3,8.9
Louisville,Bachelor's Degree,"64,000",19.2,18.0,20.3
Louisville,Graduate Degree,"41,000",12.3,11.4,13.2
Baltimore,Not a high school graduate,"47,000",13.7,12.5,14.9
Baltimore,High school diploma or GED,"167,000",48.6,46.8,50.5
Baltimore,Associate's Degree,"19,000",5.5,4.8,6.2
Baltimore,Bachelor's Degree,"55,000",16.0,15.1,16.9
Baltimore,Graduate Degree,"56,000",16.2,15.3,17.1
Boston,Not a high school graduate,"38,000",9.6,8.7,10.5
Boston,High school diploma or GED,"134,000",33.8,32.2,35.4
Boston,Associate's Degree,"18,000",4.5,3.9,5.2
Boston,Bachelor's Degree,"113,000",28.7,27.5,29.9
Boston,Graduate Degree,"92,000",23.4,22.3,24.4
Detroit,Not a high school graduate,"60,000",17.6,16.5,18.7
Detroit,High school diploma or GED,"205,000",59.9,58.1,61.7
Detroit,Associate's Degree,"27,000",7.9,7.1,8.7
Detroit,Bachelor's Degree,"30,000",8.9,8.1,9.7
Detroit,Graduate Degree,"20,000",5.7,5.2,6.3
Minneapolis,Not a high school graduate,"25,000",10.2,9.1,11.2
Minneapolis,High school diploma or GED,"72,000",29.9,28.4,31.5
Minneapolis,Associate's Degree,"18,000",7.3,6.5,8.1
Minneapolis,Bachelor's Degree,"78,000",32.6,31.2,33.9
Minneapolis,Graduate Degree,"48,000",20.0,18.9,21.1
Kansas City,Not a high school graduate,"28,000",10.3,9.3,11.3
Kansas City,High school diploma or GED,"127,000",46.8,44.9,48.7
Kansas City,Associate's Degree,"20,000",7.2,6.4,8.1
Kansas City,Bachelor's Degree,"61,000",22.4,21.2,23.5
Kansas City,Graduate Degree,"36,000",13.3,12.4,14.2
Omaha,Not a high school graduate,"28,000",11.3,10.4,12.3
Omaha,High school diploma or GED,"107,000",43.9,42.2,45.7
Omaha,Associate's Degree,"19,000",7.8,7.0,8.5
Omaha,Bachelor's Degree,"59,000",24.0,22.7,25.3
Omaha,Graduate Degree,"32,000",12.9,12.0,13.9
Las Vegas,Not a high school graduate,"52,000",14.8,13.8,15.9
Las Vegas,High school diploma or GED,"183,000",52.2,50.5,54.0
Las Vegas,Associate's Degree,"29,000",8.4,7.6,9.2
Las Vegas,Bachelor's Degree,"56,000",16.1,15.1,17.2
Las Vegas,Graduate Degree,"29,000",8.4,7.6,9.2
Albuquerque,Not a high school graduate,"25,000",8.5,7.5,9.5
Albuquerque,High school diploma or GED,"137,000",46.6,44.4,48.7
Albuquerque,Associate's Degree,"27,000",9.0,8.1,10.0
Albuquerque,Bachelor's Degree,"59,000",20.1,18.8,21.4
Albuquerque,Graduate Degree,"46,000",15.7,14.7,16.8
New York City,Not a high school graduate,"742,000",15.3,15.0,15.6
New York City,High school diploma or GED,"1,826,000",37.7,37.3,38.2
New York City,Associate's Degree,"336,000",6.9,6.7,7.2
New York City,Bachelor's Degree,"1,158,000",23.9,23.6,24.3
New York City,Graduate Degree,"780,000",16.1,15.8,16.4
Charlotte,Not a high school graduate,"44,000",9.0,8.3,9.7
Charlotte,High school diploma or GED,"177,000",36.3,34.9,37.7
Charlotte,Associate's Degree,"36,000",7.5,6.8,8.1
Charlotte,Bachelor's Degree,"152,000",31.1,30.0,32.3
Charlotte,Graduate Degree,"79,000",16.1,15.3,17.0
Raleigh,Not a high school graduate,"22,000",8.5,7.2,9.8
Raleigh,High school diploma or GED,"81,000",31.3,29.4,33.2
Raleigh,Associate's Degree,"18,000",7.1,6.1,8.2
Raleigh,Bachelor's Degree,"90,000",34.5,32.8,36.2
Raleigh,Graduate Degree,"48,000",18.6,17.2,19.9
Cleveland,Not a high school graduate,"34,000",16.3,14.9,17.6
Cleveland,High school diploma or GED,"120,000",58.0,55.9,60.1
Cleveland,Associate's Degree,"16,000",7.5,6.6,8.5
Cleveland,Bachelor's Degree,"25,000",11.9,10.8,13.0
Cleveland,Graduate Degree,"13,000",6.3,5.5,7.0
Columbus,Not a high school graduate,"48,000",9.8,9.0,10.6
Columbus,High school diploma or GED,"225,000",45.8,44.1,47.4
Columbus,Associate's Degree,"38,000",7.8,7.1,8.5
Columbus,Bachelor's Degree,"119,000",24.2,23.2,25.3
Columbus,Graduate Degree,"61,000",12.4,11.6,13.2
Oklahoma City,Not a high school graduate,"44,000",13.1,12.0,14.1
Oklahoma City,High school diploma or GED,"159,000",46.9,45.2,48.6
Oklahoma City,Associate's Degree,"28,000",8.1,7.3,9.0
Oklahoma City,Bachelor's Degree,"73,000",21.4,20.3,22.6
